Name,Email,Role,Job Level,Manager Email,Start date,Nationality,Residence,Gender,Personal Email,Birthday,Business Group
Reed Hill,reed.hill@domain.com,CPM Team Lead,4b Manager,Esme Jacobs,2020-03-06,Argentina,Argentina,Female,5245658@gmail.com,1993-08-24,CPM
Hannah Nelson,hannah.nelson@domain.com,Head of Talent Acquisition,5a Manager,Baylor McBride,2022-10-11,Spain,Spain,Female,1809250@gmail.com,1985-11-04,Business Function
Dylan Moran,dylan.moran@domain.com,Creative,2b,Maliyah Cuevas,2023-10-02,South Africa,South Africa,Male,3042167@gmail.com,1990-12-22,Business Function
Celeste Spears,celeste.spears@domain.com,Director of Public Relations,6a,Elsa McPherson,2024-07-08,United States of America (USA),United States of America (USA),Female,8651580@gmail.com,1989-11-15,Business Function
Ameer Sweeney,ameer.sweeney@domain.com,Creative Project Manager,1a,Cedric Love,2023-12-11,South Africa,South Africa,Female,3196324@gmail.com,1995-10-12,CPM
Yara Skinner,yara.skinner@domain.com,Creative,3b,Galilea McIntyre,2021-07-12,South Africa,South Africa,Male,2144552@gmail.com,1985-04-20,Business Function
Ridge Vaughn,ridge.vaughn@domain.com,Senior Marketing Strategist,3b,Jerry Thomas,2022-02-07,Mexico,Mexico,Male,2736125@gmail.com,1989-07-01,Business Function
Reign Richardson,reign.richardson@domain.com,Creative,3a,Roman Durham,2022-05-02,Brazil,Brazil,Female,1003575@gmail.com,1992-06-30,Creative
Robert Lu,robert.lu@domain.com,Creative Project Manager,1a,Noah Figueroa,2023-10-09,Mexico,Mexico,Female,2781189@gmail.com,1995-06-15,CPM
Emani Maxwell,emani.maxwell@domain.com,Creative Project Manager,1a,Cecilia Fleming,2023-12-04,Colombia,Colombia,Female,3262550@gmail.com,1994-10-20,CPM
Eden Sellers,eden.sellers@domain.com,Creative Project Manager,2b,Emmitt McDowell,2022-06-06,Kenya,Kenya,Female,1815305@gmail.com,1994-07-03,CPM
Mercy Johnson,mercy.johnson@domain.com,Creative,3b,Avi Barnett,2023-09-04,Venezuela,Peru,Female,7159179@gmail.com,1995-08-24,Creative
Noah Duke,noah.duke@domain.com,Creative,1b,Noah Duke,2024-09-02,Argentina,Argentina,Female,5440400@gmail.com,2001-05-28,Creative
Melani Thornton,melani.thornton@domain.com,Engineering Manager,4b Manager,Miracle Long,2021-09-06,Romania,Romania,Male,7756257@gmail.com,1991-10-27,Business Function
Malik Andrews,malik.andrews@domain.com,Creative,2a,Augustine Nixon,2022-04-04,Dominican Republic,Dominican Republic,Male,7308281@gmail.com,2000-02-01,Creative
Payton Woods,payton.woods@domain.com,Marketing Strategist,2a,Brantley Wang,2023-08-07,Colombia,Colombia,Male,7077065@gmail.com,1992-07-09,Business Function
Zion Shaffer,zion.shaffer@domain.com,Senior Frontend Engineer,3a,Ariyah Hayden,2022-06-06,Russian Federation,Serbia,Male,7848889@gmail.com,1998-11-10,Business Function
Alanna Knox,alanna.knox@domain.com,CPM Team Lead,4b Manager,Esme Jacobs,2021-01-11,South Africa,South Africa,Female,4712412@gmail.com,1987-08-22,CPM
Valentin Dyer,valentin.dyer@domain.com,Account Executive,3b,Lewis Reese,2021-11-08,Serbia,Serbia,Female,8711711@gmail.com,1992-11-10,Business Function
Estrella Velazquez,estrella.velazquez@domain.com,Creative Project Manager,1b,Abby Middleton,2022-06-06,Colombia,Colombia,Female,8712641@gmail.com,1991-03-12,CPM
Drew House,drew.house@domain.com,Customer Success Manager,3a,Scarlett Henderson,2022-04-04,South Africa,South Africa,Female,1393137@gmail.com,1990-08-24,Business Function
Sariah Dejesus,sariah.dejesus@domain.com,Creative Lead,4a IC,Hector Copeland,2021-09-06,South Africa,South Africa,Female,4805244@gmail.com,1992-10-22,Creative
Rio Berg,rio.berg@domain.com,"Onboarding Consultant, Specialist",2a,Luca Ware,2023-08-21,"United Kingdom, South Africa",United Kingdom,Female,8344894@gmail.com,1996-09-03,Business Function
Emmalyn Campos,emmalyn.campos@domain.com,Creative,3b,Robin Bradshaw,2022-07-04,North Macedonia,North Macedonia,Male,4397933@gmail.com,1997-07-23,Creative
Gideon Murphy,gideon.murphy@domain.com,"Creative Director, Video Services",6a,Robert Schwartz,2023-01-09,United Kingdom,United Kingdom,Male,6079850@gmail.com,1986-09-13,Business Function
Bella Allison,bella.allison@domain.com,Creative,2a,Kareem Wu,2021-03-08,Colombia,Colombia,Male,4383454@gmail.com,1993-05-25,Creative
Dennis Guerra,dennis.guerra@domain.com,Director of Legal,6a,Ian Chapman,2022-08-01,South Africa,South Africa,Male,2669533@gmail.com,1988-04-29,Business Function
Edith Torres,edith.torres@domain.com,Creative,3b,Maliyah Cuevas,2022-10-03,South Africa,South Africa,Male,1526364@gmail.com,1990-02-20,Business Function
Jayden Henson,jayden.henson@domain.com,Brand Creative Strategy & Concept Director,6a,Donald Buck,2023-04-17,United Kingdom,United Kingdom,Male,6945103@gmail.com,1982-07-03,Business Function
Kinslee Reid,kinslee.reid@domain.com,Talent Acquisition Partner,2a,Hannah Nelson,2024-06-03,Venezuela,Argentina,Male,1378804@gmail.com,1994-11-07,Business Function
Josue Solis,josue.solis@domain.com,Senior Customer Success Manager,4a IC,Kai Gates,2021-06-01,South Africa,South Africa,Male,4178489@gmail.com,1988-08-18,Business Function
Miracle Bowen,miracle.bowen@domain.com,Creative,1b,Sawyer Christensen,2022-06-20,Argentina,Argentina,Female,1562167@gmail.com,1997-10-18,Creative
Trevor Mueller,trevor.mueller@domain.com,Creative Lead,4a IC,Yareli Hail,2021-11-02,South Africa,South Africa,Female,7665419@gmail.com,1994-11-24,Business Function
Imani Rivera,imani.rivera@domain.com,Head of Business Development,5a Manager,Brycen Velez,2021-09-09,Canada,Canada,Male,2309993@gmail.com,1989-04-05,Business Function
Charles Solis,charles.solis@domain.com,Specialist Creative,1b,Annika Alvarez,2021-10-04,South Africa,South Africa,Male,4215068@gmail.com,1996-09-17,Business Function
Miracle Trujillo,miracle.trujillo@domain.com,Creative Project Manager,2b,Cecilia Fleming,2022-02-14,Colombia,Colombia,Female,6964553@gmail.com,1988-12-16,CPM
Apollo Meza,apollo.meza@domain.com,Creative Project Manager,1a,Mauricio Martin,2023-07-03,Colombia,Colombia,Female,4954979@gmail.com,1995-09-15,CPM
Rosa Graham,rosa.graham@domain.com,Senior Event Marketing Manager,4a Manager,Nataly Whitehead,2021-11-15,"Canada, Slovak Republic (Slovakia), Hungary",Canada,Female,4350800@gmail.com,1994-06-16,Business Function
Giovanni Gibson,giovanni.gibson@domain.com,Creative Project Manager,1a,Abby Middleton,2023-09-04,Costa Rica,Costa Rica,Female,2092257@gmail.com,1989-02-20,CPM
Eden Long,eden.long@domain.com,Creative Project Manager,2a,Kieran Lindsey,2022-03-07,Venezuela,Colombia,Female,5437018@gmail.com,1996-05-15,CPM
Jace Chapman,jace.chapman@domain.com,Creative Project Manager,1a,Alanna Knox,2023-08-07,Mexico,Mexico,Female,6466016@gmail.com,1988-04-23,CPM
Zuri Figueroa,zuri.figueroa@domain.com,Creative Lead,4a IC,Malayah Morrow,2022-04-04,Peru,Peru,Female,1376821@gmail.com,1991-11-17,Creative
Spencer Pratt,spencer.pratt@domain.com,Creative,3b,Stella Valentine,2022-02-07,Brazil,Brazil,Male,1139087@gmail.com,1994-08-02,Creative
Ailani Valencia,ailani.valencia@domain.com,Senior AP/AR Associate,2b,Gwendolyn Powell,2016-05-18,Indonesia,Indonesia,Female,6982500@gmail.com,1992-07-09,Business Function
Dax Zimmerman,dax.zimmerman@domain.com,Creative,2a,Davian Arellano,2021-09-06,Greece,Greece,Male,8292241@gmail.com,1996-06-01,Creative
Ariyah Hayden,ariyah.hayden@domain.com,Staff Engineer,5a Manager,Elaina Mack,2019-07-09,Russian Federation,Indonesia,Male,4100411@gmail.com,1990-08-10,Business Function
Leroy Tran,leroy.tran@domain.com,Design Director (Marketing),4b IC,Marley Alvarez,2022-10-03,"Argentina, Venezuela",Argentina,Male,5809134@gmail.com,1983-08-19,Business Function
Kylie Sharp,kylie.sharp@domain.com,Senior Talent Acquisition Partner,2b,Ava Brennan,2021-01-14,South Africa,South Africa,Male,7565426@gmail.com,1996-01-16,Business Function
Royce Cain,royce.cain@domain.com,Senior Frontend Engineer,3a,Miracle Long,2023-02-06,Nigeria,Nigeria,Male,3807969@gmail.com,2000-07-13,Business Function
Kendra Goodman,kendra.goodman@domain.com,Employer Marketing Manager,4a IC,Baylor McBride,2022-02-07,France,Portugal,Female,1848750@gmail.com,1987-04-06,Business Function
Philip Lowery,philip.lowery@domain.com,"Operations Excellence Specialist, Insights",1b,Titus Baxter,2022-12-05,Nigeria,Nigeria,Female,1743985@gmail.com,1994-06-28,Business Function
Estelle Weeks,estelle.weeks@domain.com,Creative,1b,Ayla Glenn,2021-01-04,Costa Rica,Costa Rica,Male,7751965@gmail.com,1987-11-08,Creative
Anders Webster,anders.webster@domain.com,Creative,2a,Ariel Lam,2024-05-06,Mexico,Mexico,Male,5458437@gmail.com,1991-03-01,Business Function
Kensley Crawford,kensley.crawford@domain.com,Customer Success Manager,2a,Kai Gates,2023-12-04,Greece,Greece,Female,7235299@gmail.com,1984-10-06,Business Function
Kevin Spence,kevin.spence@domain.com,Senior Product Designer,3b,John Pacheco,2023-02-06,Spain,Spain,Female,6692310@gmail.com,1985-04-02,Business Function
Aislinn Tang,aislinn.tang@domain.com,Customer Success Manager,2a,Scarlett Henderson,2024-01-08,"United Kingdom, Hungary",Spain,Female,5520158@gmail.com,1995-05-21,Business Function
Rogelio Sandoval,rogelio.sandoval@domain.com,Associate Creative Director,5a Manager,Aitana Lee,2021-05-03,South Africa,South Africa,Female,5249568@gmail.com,1987-04-20,Creative
Elsie Wu,elsie.wu@domain.com,"Operations Excellence Senior Associate, Staffing",3b,Luca Ware,2021-09-06,Kenya,Kenya,Female,6920185@gmail.com,1989-02-23,Business Function
Kyson Vasquez,kyson.vasquez@domain.com,Sales Development Representative,1a,Kyson Vasquez,2024-09-02,Bosnia & Herzegovina,Bosnia & Herzegovina,Male,8442966@gmail.com,1997-08-04,Creative
Rose Garza,rose.garza@domain.com,Creative,3b,Stefan Tyler,2022-07-04,South Africa,South Africa,Female,1501878@gmail.com,1994-04-19,Creative
Judah Cunningham,judah.cunningham@domain.com,Creative,3a,Harris Sawyer,2022-09-05,Cuba,Spain,Male,2068337@gmail.com,1994-02-24,Creative
Marley O’Connor,marley.o’connor@domain.com,Director of Customer Enablement,6a,Miller Garrett,2023-02-27,Sweden,Norway,Male,7850397@gmail.com,1985-02-03,Business Function
Princeton Kennedy,princeton.kennedy@domain.com,Creative Lead,4a IC,Davian Arellano,2021-06-28,Mexico,Mexico,Male,4438416@gmail.com,1992-04-15,Creative
Brianna Snyder,brianna.snyder@domain.com,"Operations Excellence Specialist, Insights",1b,Titus Baxter,2018-05-28,Philippines,Philippines,Male,6238896@gmail.com,1982-08-05,Business Function
Thiago Valentine,thiago.valentine@domain.com,Associate Creative Director,5a Manager,Neil Wagner,2021-10-04,Colombia,Colombia,Male,4597609@gmail.com,1992-02-25,Creative
August Vaughan,august.vaughan@domain.com,Creative Lead,4a IC,Augustine Nixon,2021-10-04,Argentina,Argentina,Male,2815960@gmail.com,1991-11-19,Creative
Castiel Ferguson,castiel.ferguson@domain.com,Creative Project Manager,3a,Kieran Lindsey,2022-03-07,Mexico,Hungary,Female,2492529@gmail.com,1991-11-19,CPM
Juliana Huynh,juliana.huynh@domain.com,Creative,2b,Jaime Higgins,2021-04-19,El Salvador,El Salvador,Female,6605634@gmail.com,1994-02-03,Creative
Layton Duran,layton.duran@domain.com,Legal Counsel,3a,Dennis Guerra,2022-01-17,"South Africa, Taiwan",South Africa,Female,5472198@gmail.com,1993-09-09,Business Function
Willa Orozco,willa.orozco@domain.com,System Architect,4a Manager,Kynlee Bauer,2022-01-10,Belarus,Belarus,Male,5853603@gmail.com,1996-07-30,Business Function
Keanu Smith,keanu.smith@domain.com,Senior Associate Creative Director,5b Manager,Jaime Petersen,2021-05-03,Argentina,Argentina,Male,5044631@gmail.com,1988-08-23,Creative
Olivia Kim,olivia.kim@domain.com,Creative,2a,Blake Glover,2021-04-06,Costa Rica,Costa Rica,Female,8371532@gmail.com,1989-03-04,Creative
Roman Durham,roman.durham@domain.com,Creative Team Lead,4a Manager,Neil Wagner,2021-04-19,Brazil,Brazil,Male,3455690@gmail.com,1982-08-17,Creative
Tiffany Shaw,tiffany.shaw@domain.com,Creative Lead,4a IC,Dario Andrade,2022-08-01,Argentina,Argentina,Male,6974696@gmail.com,1990-12-14,Creative
Elliot Villanueva,elliot.villanueva@domain.com,Creative,3a,Javier Simpson,2022-05-02,Argentina,Argentina,Male,8639523@gmail.com,1995-10-13,Creative
Monroe Blake,monroe.blake@domain.com,Creative Project Manager,2a,Mack Townsend,2022-05-09,Argentina,Argentina,Male,7946202@gmail.com,1992-08-03,CPM
Zyaire Aguirre,zyaire.aguirre@domain.com,Creative,2b,Roman Durham,2022-05-02,"Brazil, Italy",Brazil,Male,1800379@gmail.com,1988-07-06,Creative
Ariah Moss,ariah.moss@domain.com,Creative Project Manager,1a,Kieran Lindsey,2024-01-08,Argentina,Argentina,Female,6889615@gmail.com,1995-05-19,CPM
Porter Reyna,porter.reyna@domain.com,Creative,2a,Avi Barnett,2024-03-04,El Salvador,El Salvador,Female,1830967@gmail.com,1998-11-21,Creative
Luella Holmes,luella.holmes@domain.com,Creative,4a IC,Trenton Hawkins,2023-04-03,Italy,Italy,Male,2670928@gmail.com,1991-11-12,Creative
King Sampson,king.sampson@domain.com,Senior Data Analyst,3a,Princeton White,2022-01-10,Argentina,Argentina,Male,4585478@gmail.com,1993-05-09,Business Function
Meilani Krueger,meilani.krueger@domain.com,Creative Project Manager,2b,Mauricio Martin,2021-09-06,Venezuela,Venezuela,Female,7845926@gmail.com,1993-02-05,CPM
Jones Lee,jones.lee@domain.com,Senior Lead Engineer,4b IC,Melani Thornton,2021-01-11,Russian Federation,United Kingdom,Male,6463972@gmail.com,1993-08-22,Business Function
Scarlett Henderson,scarlett.henderson@domain.com,Customer Success Senior Team Lead,4b Manager,Miller Garrett,2020-08-03,Ecuador,Ecuador,Male,5590335@gmail.com,1986-04-30,Business Function
Beau Duran,beau.duran@domain.com,Creative,3b,Avi Barnett,2021-04-19,Brazil,France,Male,8711590@gmail.com,1979-09-13,Creative
Willa Crawford,willa.crawford@domain.com,Creative,3b,Nathanael Sherman,2023-11-06,Portugal,Portugal,Male,4393162@gmail.com,1990-08-25,Creative
Kevin Hurst,kevin.hurst@domain.com,Creative Project Manager,2b,Emmitt McDowell,2021-06-01,Spain,Spain,Female,3298985@gmail.com,1994-11-20,CPM
Adalee Dalton,adalee.dalton@domain.com,Creative,1b,Helen Faulkner,2020-11-18,"Argentina",Argentina,Female,7458376@gmail.com,1999-01-14,Creative
Fletcher Parra,fletcher.parra@domain.com,Creative Lead,4a IC,Chaya Glover,2023-11-06,Argentina,Argentina,Female,7362225@gmail.com,1986-06-19,Creative
Dalary Horne,dalary.horne@domain.com,People Care Partner,2a,Alden Mason,2024-07-01,Argentina,Argentina,Female,5832240@gmail.com,1996-02-07,Business Function
Zev Lambert,zev.lambert@domain.com,Customer Success Manager,3a,Kai Gates,2022-07-04,Egypt,Spain,Male,1198981@gmail.com,1992-12-21,Business Function
Nina Fox,nina.fox@domain.com,Creative,1b,Elise McCarty,2022-07-04,Venezuela,Colombia,Female,5803103@gmail.com,1996-07-29,Business Function
Antonio Gibbs,antonio.gibbs@domain.com,Creative Lead,4a IC,Robin Bradshaw,2022-01-10,Portugal,Portugal,Male,1125980@gmail.com,1992-04-22,Creative
Carter Kemp,carter.kemp@domain.com,Creative,3a,Juniper Phelps,2021-03-15,"Argentina, Spain",Argentina,Male,2302878@gmail.com,1983-01-23,Creative
Melvin Santana,melvin.santana@domain.com,Creative,3a,Addison Hoffman,2023-09-18,Argentina,Argentina,Male,5608173@gmail.com,1991-09-02,Business Function
Myra Armstrong,myra.armstrong@domain.com,Creative Lead,4a IC,Sergio Parrish,2021-06-01,"Argentina, Italy",Argentina,Male,6195011@gmail.com,1987-04-22,Creative
Grant Palmer,grant.palmer@domain.com,Producer,2b,Piper Zimmerman,2024-01-08,"Colombia, Mexico",Colombia,Male,3605769@gmail.com,1995-02-25,Business Function
Juniper Phelps,juniper.phelps@domain.com,Associate Creative Director,5a Manager,Murphy Costa,2020-11-24,Colombia,Colombia,Male,6907709@gmail.com,1991-08-20,Creative
Hamza Keith,hamza.keith@domain.com,Customer Success Manager,2a,Scarlett Henderson,2023-11-08,Argentina,Argentina,Male,8808926@gmail.com,1993-12-03,Business Function
Elyse Chavez,elyse.chavez@domain.com,Creative Project Manager,1a,Maeve Allison,2024-08-05,Colombia,Colombia,Female,6434006@gmail.com,1993-02-15,CPM
Ian Chapman,ian.chapman@domain.com,CEO,8,#N/A,2015-08-01,Norway,Norway,Male,5224366@gmail.com,1987-02-16,Business Function
Zuri Booker,zuri.booker@domain.com,Senior Backend Engineer,3a,Marvin Durham,2022-05-02,Nicaragua,Nicaragua,Male,2967073@gmail.com,1993-10-31,Business Function
Dominik Patel,dominik.patel@domain.com,Customer Success Manager,3a,Scarlett Henderson,2021-11-02,South Africa,South Africa,Female,1451269@gmail.com,1991-11-24,Business Function
Madeline Gilbert,madeline.gilbert@domain.com,Creative,3a,Kareem Wu,2022-02-07,Brazil,Brazil,Male,8190446@gmail.com,1990-09-29,Creative
Tobias Fox,tobias.fox@domain.com,Creative,2b,Kylan Guzman,2024-06-03,South Africa,South Africa,Male,6068275@gmail.com,1995-06-15,Business Function
Juliette Bush,juliette.bush@domain.com,Creative,2b,Harris Sawyer,2024-01-08,Colombia,Colombia,Female,6443809@gmail.com,1994-12-24,Creative
Tyson Manning,tyson.manning@domain.com,Creative,2b,Alexia Ponce,2022-08-01,Brazil,Portugal,Female,8107193@gmail.com,1987-11-26,Creative
Jennifer Pace,jennifer.pace@domain.com,Creative,3b,Sergio Parrish,2021-10-04,El Salvador,El Salvador,Female,6705924@gmail.com,1992-03-23,Creative
Dior Hull,dior.hull@domain.com,Creative Project Manager,1b,Amias Wolf,2023-07-03,Colombia,Mexico,Female,1994798@gmail.com,1997-06-02,CPM
Andi Wiley,andi.wiley@domain.com,Creative Project Manager,2a,Cecilia Fleming,2021-05-17,Colombia,Colombia,Female,6772644@gmail.com,1995-02-11,CPM
Mathew Mullins,mathew.mullins@domain.com,Creative,1b,Harris Sawyer,2022-07-04,Venezuela,Spain,Female,7109742@gmail.com,2001-04-25,Creative
Maliyah Carey,maliyah.carey@domain.com,Lead Talent Acquisition Partner,3a,Hannah Nelson,2022-06-06,Argentina,Argentina,Female,7479850@gmail.com,1987-07-17,Business Function
Watson Stanley,watson.stanley@domain.com,Creative Project Manager,2b,Halle McCall,2021-06-21,Ecuador,Ecuador,Female,7859958@gmail.com,1997-05-20,CPM
Gracelyn Rodgers,gracelyn.rodgers@domain.com,Creative Lead,4a IC,Hector Copeland,2021-07-01,South Africa,South Africa,Female,2774133@gmail.com,1991-04-30,Creative
Mathias Williams,mathias.williams@domain.com,Creative Project Manager,1a,Halle McCall,2024-08-05,"Colombia, Italy",Colombia,Female,2694730@gmail.com,1997-08-14,CPM
Ava Brennan,ava.brennan@domain.com,Talent Acquisition Manager,4a Manager,Baylor McBride,2021-04-01,South Africa,South Africa,Male,1438148@gmail.com,1991-09-03,Business Function
Curtis Trejo,curtis.trejo@domain.com,Creative,3b,Javier Simpson,2020-06-22,Philippines,Philippines,Male,3607755@gmail.com,1989-04-10,Creative
Rosalyn Cano,rosalyn.cano@domain.com,Senior Enterprise Business Development Representative,2b,Kendra Anthony,2021-05-03,South Africa,South Africa,Female,8028385@gmail.com,1989-08-25,Business Function
Terry Morse,terry.morse@domain.com,Director of AI & ML,6a,Kaylie Massey,2023-09-04,Turkey,United Kingdom,Male,3470710@gmail.com,1985-01-04,Business Function
Kairi Jacobs,kairi.jacobs@domain.com,Creative,2a,Ayla Glenn,2021-03-31,Uruguay,Uruguay,Male,8900738@gmail.com,1999-11-09,Creative
Bryan McFarland,bryan.mcfarland@domain.com,Creative Strategist,3b,Jayden Henson,2024-03-04,South Africa,South Africa,Female,5094055@gmail.com,1991-08-20,Business Function
Annika Alvarez,annika.alvarez@domain.com,Creative Director,6a,Laylah Valenzuela,2021-04-12,South Africa,Portugal,Male,2029117@gmail.com,1983-06-04,Business Function
Xavier Dillon,xavier.dillon@domain.com,Creative Project Manager,1b,Reed Hill,2023-08-07,Venezuela,Panama,Female,1500642@gmail.com,1997-02-15,CPM
Laurel Shepherd,laurel.shepherd@domain.com,Conceptual Art Director,3a,Annika Alvarez,2021-11-02,South Africa,South Africa,Female,1734740@gmail.com,1993-09-22,Business Function
Ronald Lang,ronald.lang@domain.com,Creative,3a,Juniper Phelps,2022-05-02,Albania,Italy,Female,3901201@gmail.com,1996-10-13,Creative
Amirah Casey,amirah.casey@domain.com,Creative Project Manager,1a,Emmitt McDowell,2023-08-07,Brazil,Brazil,Male,5633941@gmail.com,1993-07-28,CPM
Armando Hawkins,armando.hawkins@domain.com,Producer,3a,Darwin Nava,2024-01-08,Spain,Spain,Male,8786531@gmail.com,1992-11-23,Business Function
Ariel Lam,ariel.lam@domain.com,Creative Team Lead,4a Manager,Gideon Murphy,2024-05-06,Mexico,Mexico,Male,4400715@gmail.com,1990-04-15,Business Function
Bodie Anthony,bodie.anthony@domain.com,Creative Project Manager,2a,Reed Hill,2021-08-02,Colombia,Colombia,Male,1032276@gmail.com,1983-11-10,CPM
Macy Rich,macy.rich@domain.com,Creative Project Manager,3b,Maeve Allison,2020-11-09,Brazil,Brazil,Male,1772026@gmail.com,1990-01-05,CPM
Miller Garrett,miller.garrett@domain.com,COO,8,Ian Chapman,2016-04-06,Norway,Norway,Male,8706085@gmail.com,1988-04-25,Business Function
Tessa Dixon,tessa.dixon@domain.com,Creative Project Manager,1b,Dayton Howard,2022-05-16,Lebanon,Lebanon,Female,6169479@gmail.com,1993-12-29,CPM
Camden McFarland,camden.mcfarland@domain.com,Social Media Content Creator,3b,Cannon Howell,2023-10-23,Canada,Canada,Female,2256745@gmail.com,1994-06-28,Business Function
Annika Terry,annika.terry@domain.com,Creative,3a,Stella Valentine,2021-09-06,Mexico,Mexico,Male,1065655@gmail.com,1993-08-25,Creative
Armani Walter,armani.walter@domain.com,Creative,3b,Malayah Morrow,2017-02-28,"Belgium",India,Male,6958313@gmail.com,1987-05-13,Creative
Penny Dunn,penny.dunn@domain.com,People Architecture Manager,4a IC,Aurelia Conrad,2023-03-06,United States of America (USA),Spain,Female,8607440@gmail.com,1992-01-23,Business Function
Dawson Horton,dawson.horton@domain.com,Creative,3b,Addison Hoffman,2023-09-18,"Brazil, Portugal",Brazil,Female,8012000@gmail.com,1989-05-04,Business Function
Aitana Lee,aitana.lee@domain.com,"Creative Director, Communications",6a,Donald Buck,2020-01-03,South Africa,South Africa,Female,6967475@gmail.com,1988-08-10,Business Function
Jack Leach,jack.leach@domain.com,Customer Success Manager,2b,Mira Gaines,2023-01-09,Egypt,Egypt,Male,3832714@gmail.com,1995-09-30,Business Function
Martha Bryant,martha.bryant@domain.com,Creative,3b,Stefan Tyler,2022-03-07,South Africa,South Africa,Female,8498636@gmail.com,1993-11-29,Creative
Jonah Novak,jonah.novak@domain.com,Group Product Manager,5a Manager,Gwendolyn Peck,2022-07-25,South Africa,South Africa,Male,6148183@gmail.com,1990-02-26,Business Function
Kaiya Becker,kaiya.becker@domain.com,Product Manager,4a IC,Jonah Novak,2024-01-08,Portugal,Portugal,Male,6210559@gmail.com,1987-12-23,Business Function
Lawson Morton,lawson.morton@domain.com,Creative,3a,Robin Bradshaw,2021-09-06,Libya,Libya,Male,1124613@gmail.com,1998-11-12,Creative
Mallory Stephens,mallory.stephens@domain.com,Creative,3b,Nathanael Sherman,2023-11-06,Brazil,Brazil,Female,8692024@gmail.com,1992-05-21,Creative
Messiah Byrd,messiah.byrd@domain.com,Senior Lead Frontend Engineer,4b IC,Marvin Durham,2021-04-26,Palestine,Spain,Male,1436448@gmail.com,1991-04-20,Business Function
Giselle Crosby,giselle.crosby@domain.com,Senior Engineer (React/ Frontent),3a,Elaina Mack,2023-03-06,Brazil,Brazil,Male,5813709@gmail.com,1991-12-02,Business Function
Tristen Waller,tristen.waller@domain.com,Growth Marketing Specialist,3b,Leighton May,2022-07-04,"Argentina, Italy",Argentina,Male,6776933@gmail.com,1997-01-10,Business Function
Whitley Owen,whitley.owen@domain.com,Creative,3b,Jaime Higgins,2018-05-09,Ukraine,Ukraine,Male,1932831@gmail.com,1982-06-24,Creative
Cannon Elliott,cannon.elliott@domain.com,Creative Project Manager,3a,Noah Figueroa,2021-08-02,Greece,Greece,Female,7643629@gmail.com,1991-09-29,CPM
Noelle Salas,noelle.salas@domain.com,Senior Lead Engineer,4b IC,Major O’Neal,2021-11-02,Russian Federation,Thailand,Male,5579759@gmail.com,1992-07-15,Business Function
Zaiden Cantu,zaiden.cantu@domain.com,Learning Experience Designer,4a IC,Clara Gardner,2021-08-02,Lithuania,Lithuania,Female,8336553@gmail.com,1993-03-09,Business Function
Galilea McIntyre,galilea.mcintyre@domain.com,Creative Director,6a,Donald Buck,2019-03-01,Portugal,Portugal,Female,5557155@gmail.com,1976-07-28,Business Function
Eliseo Frye,eliseo.frye@domain.com,Creative Project Manager,1a,Amias Wolf,2023-10-02,Argentina,Argentina,Female,6109113@gmail.com,1997-12-05,CPM
Raya Rodgers,raya.rodgers@domain.com,Creative Lead,4a IC,Kohen Carlson,2022-05-09,Portugal,Portugal,Female,2969905@gmail.com,1991-03-17,Creative
Mathias Newton,mathias.newton@domain.com,Senior Generative AI Consulting Manager,5b IC,Zaiden Spencer,2024-06-03,Spain,Spain,Female,4571195@gmail.com,1988-11-08,Business Function
Braelynn McGee,braelynn.mcgee@domain.com,Creative Lead,4a IC,Hector Copeland,2022-09-05,South Africa,South Africa,Female,5999229@gmail.com,1987-08-23,Creative
Conner Noble,conner.noble@domain.com,Creative,3b,Chaya Glover,2019-05-12,Croatia,Croatia,Female,3142531@gmail.com,1987-12-31,Creative
Hunter Dalton,hunter.dalton@domain.com,Creative,2b,Keanu Smith,2024-01-08,El Salvador,El Salvador,Female,3432470@gmail.com,1991-04-20,Business Function
Fletcher Stout,fletcher.stout@domain.com,Creative,3b,Thiago Valentine,2022-01-10,Mexico,Mexico,Male,5100607@gmail.com,1991-01-12,Creative
Chana Weber,chana.weber@domain.com,Creative,3a,Melody Dixon,2021-10-04,Brazil,Brazil,Female,5381176@gmail.com,1995-11-12,Creative
Crew Ball,crew.ball@domain.com,Enterprise Business Development Representative,2a,Jeffery Farrell,2022-09-05,Venezuela,Venezuela,Female,1193660@gmail.com,1999-03-19,Business Function
Abby Middleton,abby.middleton@domain.com,CPM Team Lead,4b Manager,Esme Jacobs,2019-08-05,Nicaragua,Nicaragua,Female,1709746@gmail.com,1994-07-03,CPM
Misael Marsh,misael.marsh@domain.com,Producer,3a,Piper Zimmerman,2023-08-07,Mexico,Mexico,Male,6653599@gmail.com,1996-05-30,Business Function
Adelina Christian,adelina.christian@domain.com,Onboarding Consultant,3a,Luca Ware,2023-09-04,"Serbia, Croatia",Serbia,Male,8025304@gmail.com,1987-11-22,Business Function
Ledger Roman,ledger.roman@domain.com,Creative,4a IC,Keanu Smith,2019-09-17,Colombia,Colombia,Male,7628790@gmail.com,1992-05-29,Creative
Astrid Carey,astrid.carey@domain.com,Creative,3b,Kylan Guzman,2022-11-07,South Africa,South Africa,Female,8341941@gmail.com,1990-11-02,Business Function
Watson Johnson,watson.johnson@domain.com,Staff Engineer,5a IC,Marvin Durham,2022-10-03,Poland,Poland,Male,3570330@gmail.com,1994-06-28,Business Function
